Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Timestamp (s),FR susp (mm),FL susp (mm)
0,20,a7,44,0,0,2b,43,39.798403,-105.05,20.9
0,60,d6,44,0,0,1d,43,39.848407,-134.75,19.18888888888889
0,60,ae,44,0,0,43,43,39.898412,-109.60714285714286,23.833333333333336
0,60,b0,44,0,0,4f,43,39.94842,-110.8642857142857,25.3
0,60,9a,44,0,0,3d,43,39.99842,-97.03571428571428,23.099999999999998
0,0,ad,44,0,0,4a,43,40.048421,-108.74285714285713,24.68888888888889
0,0,ad,44,0,0,73,43,40.098424,-108.74285714285713,29.700000000000003
0,60,b3,44,0,0,54,43,40.148428,-112.74999999999999,25.91111111111111
0,80,b6,44,0,0,3f,43,40.198434,-114.71428571428572,23.344444444444445
0,20,b3,44,0,0,5d,43,40.248439,-112.59285714285714,27.01111111111111
0,80,a5,44,0,0,47,43,40.298439,-104.02857142857142,24.322222222222223
0,60,a2,44,0,0,43,43,40.348443,-102.06428571428572,23.833333333333336
0,40,a5,44,0,0,47,43,40.398444,-103.87142857142857,24.322222222222223
0,c0,9b,44,0,0,9b,43,40.448447,-97.9,37.888888888888886
0,80,a4,44,0,0,38,43,40.498455,-103.39999999999999,22.48888888888889
0,40,bf,44,0,0,2f,43,40.548458,-120.21428571428571,21.38888888888889
0,80,c1,44,0,0,61,43,40.648463,-121.62857142857142,27.5
0,e0,a9,44,0,0,49,43,40.698467,-106.77857142857144,24.566666666666666
0,e0,ac,44,0,80,9b,43,40.748471,-108.66428571428571,38.01111111111111
0,a0,ab,44,0,0,4d,43,40.798474,-107.87857142857143,25.055555555555554
0,60,dc,44,0,0,66,43,40.848479,-138.52142857142857,28.111111111111107
0,a0,a9,44,0,0,57,43,40.898482,-106.62142857142857,26.27777777777778
0,a0,b2,44,0,0,5d,43,40.948487,-112.27857142857142,27.01111111111111
0,80,ac,44,0,0,5a,43,40.998491,-108.42857142857143,26.644444444444446
0,a0,a8,44,0,0,73,43,41.048493,-105.99285714285713,29.700000000000003
0,80,a9,44,0,0,45,43,41.098496,-106.54285714285714,24.077777777777776
0,40,aa,44,0,80,dd,43,41.148502,-107.01428571428572,54.144444444444446
0,40,c9,44,0,0,6d,43,41.198503,-126.49999999999999,28.966666666666665
0,c0,aa,44,0,0,5e,43,41.248506,-107.32857142857144,27.133333333333333
0,60,af,44,0,0,63,43,41.298513,-110.2357142857143,27.744444444444447
0,20,aa,44,0,0,62,43,41.348518,-106.9357142857143,27.622222222222224
0,a0,b3,44,0,0,67,43,41.398517,-112.90714285714286,28.23333333333333
0,80,b2,44,0,0,61,43,41.448519,-112.2,27.5
0,0,c9,44,0,0,85,43,41.498526,-126.34285714285714,32.51111111111111
0,c0,ae,44,0,0,a,44,41.548529,-109.84285714285714,67.46666666666667
0,a0,ab,44,0,0,5b,43,41.598528,-107.87857142857143,26.76666666666667
0,e0,d8,44,0,0,50,43,41.64854,-136.32142857142858,25.42222222222222
0,a0,b7,44,0,80,f2,43,41.698542,-115.42142857142858,59.27777777777777
0,0,b3,44,0,80,86,43,41.748541,-112.51428571428572,32.87777777777777
0,80,bb,44,0,0,24,43,41.798544,-117.85714285714285,20.044444444444444
0,c0,e4,44,0,0,5f,43,41.848552,-143.78571428571428,27.255555555555556
0,0,ba,44,0,80,e5,43,41.898552,-116.91428571428573,56.1
