Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Timestamp (s),steering (°),TI core temp (C)
d4,60,2c,c1,0,f0,1d,46,36.447825,175.12929376744182,17.6367104
9e,af,38,c1,0,f0,1d,46,36.497828,175.26435270697675,17.6367104
cc,33,3c,c1,0,f0,1d,46,36.547828,175.3029390139535,17.6367104
9e,af,38,c1,0,f0,1d,46,36.597835,175.26435270697675,17.6367104
9e,af,38,c1,0,f0,1d,46,36.647837,175.26435270697675,17.6367104
c,31,6f,c1,0,f0,1d,46,36.697843,175.86246809302327,17.6367104
b5,71,3a,c1,0,f0,1d,46,36.747845,175.28364586046507,17.6367104
9e,af,38,c1,0,f0,1d,46,36.79785,175.26435270697675,17.6367104
9e,af,38,c1,0,f0,1d,46,36.847853,175.26435270697675,17.6367104
cc,33,3c,c1,0,f0,1d,46,36.897852,175.3029390139535,17.6367104
6,8b,4f,c1,0,f0,1d,46,36.947861,175.51517391627897,17.6367104
88,ed,36,c1,0,f0,1d,46,36.997862,175.24505972093027,17.6367104
97,0,99,c1,0,f0,1d,46,37.047867,176.32127670697662,17.6367104
88,ed,36,c1,0,f0,1d,46,37.097871,175.24505972093027,17.6367104
b5,71,3a,c1,0,f0,1d,46,37.147871,175.28364586046507,17.6367104
9e,af,38,c1,0,f0,1d,46,37.197876,175.26435270697675,17.6367104
b5,71,3a,c1,0,f0,1d,46,37.247881,175.28364586046507,17.6367104
b5,71,3a,c1,0,f0,1d,46,37.297882,175.28364586046507,17.6367104
d1,d9,5b,c1,0,f0,1d,46,37.347886,175.65023302325574,17.6367104
9e,af,38,c1,0,f0,1d,46,37.397891,175.26435270697675,17.6367104
b5,71,3a,c1,0,f0,1d,46,37.447893,175.28364586046507,17.6367104
9e,af,38,c1,0,f0,1d,46,37.497897,175.26435270697675,17.6367104
80,c0,46,c1,0,f0,1d,46,37.547903,175.41870496744184,17.6367104
f0,c8,4d,c1,0,f0,1d,46,37.597903,175.4958809302325,17.6367104
cc,33,3c,c1,0,f0,1d,46,37.747913,175.3029390139535,17.6367104
cc,33,3c,c1,0,f0,1d,46,37.79792,175.3029390139535,17.6367104
f,b8,3f,c1,0,f0,1d,46,37.847924,175.34152883720924,17.6367104
26,7a,41,c1,0,f0,1d,46,37.897928,175.36082199069767,17.6367104
42,e2,62,c1,0,f0,1d,46,37.947929,175.72740915348834,17.6367104
77,93,56,c1,0,f0,1d,46,37.997931,175.59235004651157,17.6367104
39,b5,72,c1,0,f0,1d,46,38.047935,175.90105423255807,17.6367104
b6,ef,8a,c1,0,f0,1d,46,38.097941,176.16692461395348,17.6367104
e6,65,9d,c1,0,f0,1d,46,38.147943,176.3695131906976,17.6367104
59,22,b5,c1,0,f0,1d,46,38.197944,176.62998089302323,17.6367104
4,82,cf,c1,0,f0,1d,46,38.247952,176.9193919255814,17.6367104
ad,e,da,c1,0,f0,1d,46,38.297955,177.03515603720916,17.6367104
c6,a3,eb,c1,0,f0,1d,46,38.347959,177.2280961116278,17.6367104
86,f2,f7,c1,0,f0,1d,46,38.397962,177.3631533767442,17.6367104
47,26,14,c2,0,f0,1d,46,38.447962,177.67262896744182,17.6367104
3e,72,3,c2,0,f0,1d,46,38.497969,177.4893362232557,17.6367104
97,3f,1,c2,0,f0,1d,46,38.54797,177.46521806511623,17.6367104
12,cf,0,c2,0,f0,1d,46,38.597978,177.46039490232556,17.6367104
97,3f,1,c2,0,f0,1d,46,38.647979,177.46521806511623,17.6367104
12,cf,0,c2,0,f0,1d,46,38.697981,177.46039490232556,17.6367104
f6,fa,fe,c1,0,f0,1d,46,38.747988,177.44032933953486,17.6367104
c,dc,ff,c1,0,f0,1d,46,38.797993,177.4499776744185,17.6367104
22,b0,1,c2,0,f0,1d,46,38.847995,177.47004223255817,17.6367104
12,cf,0,c2,0,f0,1d,46,38.897997,177.46039490232556,17.6367104
3e,72,3,c2,0,f0,1d,46,38.947999,177.4893362232557,17.6367104
97,3f,1,c2,0,f0,1d,46,38.998004,177.46521806511623,17.6367104
12,cf,0,c2,0,f0,1d,46,39.048006,177.46039490232556,17.6367104
12,cf,0,c2,0,f0,1d,46,39.09801,177.46039490232556,17.6367104
8c,5e,0,c2,0,f0,1d,46,39.148013,177.45557157209294,17.6367104
c,dc,ff,c1,0,f0,1d,46,39.19802,177.4499776744185,17.6367104
c,dc,ff,c1,0,f0,1d,46,39.248024,177.4499776744185,17.6367104
c,dc,ff,c1,0,f0,1d,46,39.298028,177.4499776744185,17.6367104
be,76,fb,c1,0,f0,1d,46,39.348027,177.4017413581396,17.6367104
b2,95,fa,c1,0,f0,1d,46,39.398032,177.39209469767445,17.6367104
4d,6e,f4,c1,0,f0,1d,46,39.448037,177.324565227907,17.6367104
4d,6e,f4,c1,0,f0,1d,46,39.498041,177.324565227907,17.6367104
37,ac,f2,c1,0,f0,1d,46,39.548043,177.3052722418604,17.6367104
8e,1f,e8,c1,0,f0,1d,46,39.598047,177.18950813023253,17.6367104
29,f8,e1,c1,0,f0,1d,46,39.64805,177.12197866046517,17.6367104
ad,e,da,c1,0,f0,1d,46,39.698053,177.03515603720916,17.6367104
53,c8,d4,c1,0,f0,1d,46,39.748056,176.9772730604651,17.6367104
88,98,c7,c1,0,f0,1d,46,39.798059,176.8325693023255,17.6367104
94,79,c8,c1,0,f0,1d,46,39.848062,176.84221596279065,17.6367104
f9,a0,ce,c1,0,f0,1d,46,39.898067,176.9097454325581,17.6367104
72,b7,c6,c1,0,f0,1d,46,39.948074,176.82292096744186,17.6367104
67,d6,c5,c1,0,f0,1d,46,39.998074,176.81327447441856,17.6367104
67,d6,c5,c1,0,f0,1d,46,40.048077,176.81327447441856,17.6367104
3a,33,c3,c1,0,f0,1d,46,40.098081,176.78433298604648,17.6367104
3a,33,c3,c1,0,f0,1d,46,40.148085,176.78433298604648,17.6367104
23,71,c1,c1,0,f0,1d,46,40.198089,176.76503983255816,17.6367104
2,af,bf,c1,0,f0,1d,46,40.248095,176.7457450046511,17.6367104
3a,33,c3,c1,0,f0,1d,46,40.298096,176.78433298604648,17.6367104
f6,cd,be,c1,0,f0,1d,46,40.3481,176.73609834418596,17.6367104
